date,sale_id,store,product,quantity_sold,product price,total_price
2018-10-09,dce38f03-5899-40e5-a2ac-705597f064b0,S085,P019,1,246,246
2020-11-20,cb16a7de-a3b7-4417-a42a-fbc8306063aa,S061,P033,2,383,766
2019-04-11,4a031189-a371-4f6b-bf92-15458cb1b4d5,S041,P013,3,306,918
2024-11-26,e3895fbe-347d-4f9b-b37c-63fa0c59ae02,S001,P027,2,525,1050
2019-07-18,b1529780-7d69-46f0-b7c2-fb76d2fe26c7,S020,P032,2,265,530
2022-08-26,97e831fe-f9f1-4fc7-ac28-142b528acb5c,S010,P017,2,566,1132
2022-05-12,e691e195-ff89-4f69-b5fa-02f76e52a975,S066,P026,1,75,75
2023-02-18,27a9ad53-0c0b-46ea-9af3-2d1e2a753048,S026,P025,3,570,1710
2019-11-12,72035273-7a91-4d00-a6bc-4d92bbfe6c99,S094,P021,2,127,254
2021-11-29,7df0e5dc-606a-412d-8b31-67a348718f5b,S016,P003,1,295,295
2018-03-08,832b8373-f56d-4472-a0fb-d2fcedde8954,S032,P036,3,130,390
2019-01-01,231fd999-a903-4b97-a77d-31410ed9a872,S034,P037,1,373,373
2019-07-14,e1db89b7-e6ee-46bd-a7a0-50489c3013ec,S081,P037,2,100,200
2021-03-11,f0a66d0a-83c7-4678-b4e2-260a3bb81cba,S077,P019,2,636,1272
2019-06-22,bdd7d469-7dae-40b9-a774-4fd7fd31124a,S046,P034,3,266,798
2020-03-03,4512be4a-e7cd-45ab-b305-a9e84b3ff065,S030,P013,3,252,756
2018-05-27,0de9c618-90a9-4482-9bca-1497611a5439,S091,P012,2,172,344
2023-09-29,158351fb-dbb1-4087-a822-d032ec10a3c8,S081,P024,3,112,336
2018-06-10,84530c22-6691-4a1f-a31e-fc451ef2b26e,S091,P029,2,582,1164
2018-05-28,ed3edb63-abbd-4b78-b242-7cbce3e9e243,S086,P002,2,107,214
2019-01-06,cebd1a45-02db-4061-8404-5b92ee31a9bd,S062,P037,3,180,540
2018-03-03,42cbf0b1-917d-4db3-8beb-323f4d572552,S020,P024,2,200,400
2024-01-04,6bb50c85-036f-4c6f-bb20-220486ae7817,S012,P036,2,378,756
2022-12-26,8b7801d6-7598-4a9c-ac2d-8b7044966a88,S041,P010,3,571,1713
