date,sale_id,store,product,quantity_sold,product price,total_price
2019-04-10,834433f1-22d5-4cc4-bb30-3483b6102145,S055,P043,5,216,1080
2022-11-17,8892faa6-bdac-45ce-8785-2455ab9952f7,S008,P031,3,352,1056
2022-09-11,3416e707-4129-4e97-9f7c-55fcc6f28b8a,S065,P018,1,343,343
2018-08-13,3640cba5-dff3-4611-a68e-7d78a4255f4a,S023,P019,1,194,194
2022-05-05,5359ec4c-2216-4f6b-9de1-0d1c29fabad1,S073,P036,2,433,866
2020-05-15,f4dfcece-8bc6-41a1-901f-26865e56199e,S050,P018,1,197,197
2020-09-20,0a3df417-6193-437f-8f23-4f8078208905,S036,P007,4,631,2524
2018-11-24,e7ce0289-8b21-4d11-a8b1-af4f39507b4e,S011,P037,4,80,320
2020-02-14,9a2527a9-4152-49b2-9c32-ddbb3cdb5073,S061,P050,3,129,387
2024-01-22,cffbf110-6896-4a03-bebe-05cbbbccee53,S072,P034,2,204,408
2022-12-08,46d9ee98-1c61-45ca-ae68-401912f4acd2,S015,P036,2,607,1214
2022-09-24,88731b9b-b5c4-4030-bbe7-25f5837d89f3,S002,P016,3,92,276
2021-03-10,9cf2e3d7-c302-4873-b8a8-b9878d4e8380,S064,P002,4,115,460
2024-03-07,3cb35015-53dc-4be6-b6c3-d662f23cd68b,S027,P053,4,696,2784
2020-06-03,f8441bdd-543c-4a15-94d5-adfd19090e5e,S059,P049,5,634,3170
2023-04-05,c1cd9a22-caea-42ee-ba55-f8a3404ea705,S051,P053,4,187,748
2018-11-12,eec12ace-2c5a-4a72-8ad8-85054bfc0d82,S094,P018,1,188,188
2022-07-18,562578d2-6fb9-4657-96c4-93026481f695,S020,P030,4,462,1848
2018-03-08,33778c62-02ec-4570-aff6-c5ae511e667f,S019,P014,1,238,238
2018-11-23,a1454707-03f2-43f5-9c7e-997c98d9759b,S051,P007,4,410,1640
2019-09-21,84b44255-073a-4216-9961-d091c9edfc1f,S019,P005,2,572,1144
2020-06-17,0363e7c5-a9c8-44c7-82de-bd41dfb22502,S059,P040,3,536,1608
2023-11-11,697a9a72-3341-4b26-a4fd-0610c125e151,S028,P037,5,194,970
2022-02-20,02fb2ce4-0645-494d-92cb-edb5e0d5d779,S036,P053,1,436,436
2019-03-15,8be4f856-bd72-4806-8df0-62830c734282,S027,P011,2,400,800
2018-09-01,f6bd8cb7-aa43-4328-a296-ad7882366efd,S068,P044,1,312,312
2019-04-18,11132b96-4c16-4ea2-82cd-a967bdda051f,S055,P036,2,424,848
2021-12-07,4a5826f1-8a8b-4ca3-aeb7-59a0f9ec0ff1,S081,P011,4,284,1136
2019-12-16,06824293-cbd7-4a2e-a8d7-aa17eb33d740,S023,P036,2,380,760
2019-05-23,f6ddd7dc-3cb1-4223-a5f2-dcab04c50c5e,S013,P009,5,336,1680
2021-11-08,d0a983dd-6d04-45b7-8b33-874e8b38ef60,S082,P055,5,368,1840
2021-11-19,5b6cd1a2-1c62-4c6d-92b0-445d17bcb7f5,S097,P056,1,650,650
2020-04-25,4cebf07f-4bb2-4b7a-b85d-b05ea2b9848b,S078,P012,5,289,1445
2022-06-07,4202206e-fe7d-4459-a1c7-02e1d071046c,S003,P020,1,365,365
2023-10-19,7d7df3d7-d220-4864-9a2e-74499af0452f,S041,P022,1,159,159
2022-02-07,e114a04d-4e56-499c-8252-ba97357d0070,S083,P016,3,178,534
2020-09-04,5fceddbe-20ed-448e-9ffe-00c3960732c4,S075,P009,1,470,470
2018-04-03,16b2d685-d774-4ef2-b1f8-7e848a4e0e7c,S063,P048,3,287,861
2021-07-29,b0daf431-a00a-447f-b4db-f15b5f104dea,S044,P007,3,128,384
2019-04-09,c88d26b3-3640-4153-9aff-7d9d31850ccb,S072,P055,2,236,472
2023-05-11,f8fc4e58-08e4-4c23-81cc-ebad203aff03,S006,P002,1,107,107
2023-01-22,217b33be-b324-462c-bfb3-4c59cd1ff1a8,S050,P048,5,308,1540
2020-02-01,36789481-8d2a-4bda-ba26-a7cf635aeb61,S085,P029,2,670,1340
2023-07-18,4e0bb2db-1f47-45e2-b9c0-fb4e6bad1c67,S029,P037,1,209,209
2022-04-04,352a43ed-03e0-4794-9f4b-d2b81d548293,S079,P053,1,445,445
2020-10-30,58bf6260-43ab-49e1-a968-599d0f4e1a92,S009,P056,1,53,53
2021-12-31,b717aded-8b78-4f41-9750-fe8b0c3d94e8,S098,P008,4,389,1556
2018-12-15,61224720-5e36-441c-8d51-55be6e489515,S012,P009,3,551,1653
2018-01-23,810148d8-3bda-4b5f-8965-5b81e613b8d5,S067,P037,4,694,2776
2022-03-02,618e1d3f-2708-4ecc-9a34-ab697addf498,S041,P015,3,473,1419
2019-04-11,2f2bb016-fdd1-47d6-895e-51df1abb22cf,S015,P047,3,159,477
2023-05-10,d997ba05-973d-4dbf-aaeb-6a5208d5fa54,S091,P038,2,644,1288
2020-03-21,d3619293-9674-4ed3-8d1f-ee0e622f42fe,S092,P056,5,178,890
2020-05-31,89615c8f-0cce-4ea3-9554-a0ea3d18f07c,S030,P037,3,351,1053
2023-01-08,42373230-8d32-4560-bc7b-c0b8151c6e4a,S090,P034,3,613,1839
2024-11-15,7414e934-1f5e-4798-8526-edb79dfc0dda,S082,P008,4,675,2700
2021-08-21,3183e8c2-2ff4-4d75-8246-7006e6998e3a,S000,P051,5,547,2735
2022-02-20,eb97af61-26a7-487e-b02d-6dc4d8a8f73d,S044,P041,5,559,2795
2023-01-10,b449feac-ac0a-4ca6-89aa-de1f3f6b5b5e,S024,P029,5,392,1960
2021-12-28,b3638487-8924-4a16-bee0-ee7d7a062f1e,S063,P058,4,384,1536
2021-01-01,f584bdad-59b4-4e9a-aac5-0791c2a6024c,S013,P019,4,536,2144
2024-10-23,34330caf-4a6f-4abf-92be-d5c3a4bceb8c,S022,P011,3,111,333
2024-06-13,4f3a5497-76f2-46ca-a0be-761600548911,S091,P014,1,165,165
2024-12-09,3eee4eb8-2443-4b57-ba66-d5b3d3c969f4,S043,P039,5,329,1645
2019-04-21,1590d6a9-7ddb-4eae-8f0f-40841df3ceff,S088,P046,5,457,2285
2021-08-13,7a676d9f-cdf6-43c8-a3c3-be52289b83a7,S078,P059,3,560,1680
2018-08-28,13df1eef-d163-4547-a7f7-e4a5d272d8d6,S028,P005,5,616,3080
2021-04-02,8987e049-fc3c-4f77-b36a-fedbf07589f9,S051,P044,1,551,551
2021-02-08,ca1f757a-27a6-4be6-93aa-7acd9ae3aeb0,S062,P008,2,250,500
2019-11-23,1d785747-ac23-4acc-965a-cc92781aa1ba,S037,P043,5,336,1680
2018-04-04,8562ce48-abe9-4cf5-a719-41e313158208,S092,P020,4,535,2140
2019-01-05,32ec63b8-f38a-4adc-aaa0-efdeaaf77a12,S013,P032,1,128,128
2024-07-21,353109cd-c001-493f-a4cd-7414b390154b,S039,P004,4,518,2072
2020-06-02,c110d8da-ca79-4baa-9cd4-0bda35d06db2,S076,P036,4,332,1328
2018-05-30,5a813fad-7a74-4cef-818f-951ec95cf940,S080,P038,4,271,1084
2022-11-25,f166c0ec-8087-40ef-b9f2-cedfa482bd4f,S038,P018,3,332,996
2018-04-21,634ba33c-1f2d-448d-9f78-2fed5e70b9d5,S057,P032,1,381,381
2021-04-18,98d80437-5d16-4202-99fc-260a580bcb97,S013,P025,3,435,1305
2019-05-24,0e5a75f9-a80c-46c0-9c35-72ba6873024f,S067,P027,3,525,1575
2019-05-25,4b957b6c-1f82-44ad-9b02-d9cd11e0c9ec,S046,P021,5,544,2720
2019-10-02,2d723384-3322-4426-b199-94c9b3a380dd,S081,P011,3,426,1278
2021-09-06,51ce38fd-7401-4e35-a4dc-fc3f73f3035b,S029,P050,2,375,750
2018-12-01,a06a5a82-869b-44ad-aac2-aa4a8731554b,S004,P050,4,338,1352
2022-03-14,620507d2-dc18-441a-8632-0f25be6b0f16,S058,P047,3,649,1947
2020-05-19,87861ed1-431f-4a72-8113-3bf1b249517e,S005,P054,2,77,154
2018-05-18,eb02f52d-8648-4aed-9c50-3182025fff4b,S071,P012,1,351,351
2020-01-07,513a98d5-7d57-4815-aed5-99283d423659,S088,P050,3,137,411
